1.00, 3.00
1.00, 4.00
1.00, 5.00
1.00, 6.00
1.00, 7.00
1.00, 96.00
2.00, 2.00
2.00, 6.00
2.00, 37.00
2.00, 54.00
2.00, 55.00
2.00, 93.00
2.00, 94.00
2.00, 95.00
3.00, 2.00
3.00, 6.00
3.00, 15.00
3.00, 96.00
4.00, 1.00
4.00, 2.00
4.00, 4.00
4.00, 5.00
4.00, 30.00
4.00, 41.00
4.00, 97.00
4.00, 99.00
5.00, 2.00
5.00, 6.00
5.00, 16.00
5.00, 75.00
6.00, 2.00
6.00, 26.00
6.00, 64.00
7.00, 82.00
8.00, 13.00
8.00, 34.00
9.00, 14.00
9.00, 40.00
9.00, 48.00
9.00, 80.00
9.00, 93.00
10.00, 1.00
10.00, 15.00
10.00, 47.00
10.00, 56.00
11.00, 39.00
11.00, 77.00
12.00, 16.00
12.00, 32.00
12.00, 42.00
12.00, 46.00
12.00, 82.00
13.00, 15.00
13.00, 16.00
13.00, 58.00
13.00, 99.00
14.00, 14.00
14.00, 85.00
15.00, 14.00
15.00, 39.00
16.00, 16.00
16.00, 35.00
16.00, 36.00
16.00, 37.00
16.00, 38.00
16.00, 39.00
16.00, 49.00
16.00, 79.00
16.00, 84.00
16.00, 100.00
17.00, 1.00
17.00, 4.00
17.00, 14.00
17.00, 17.00
17.00, 32.00
17.00, 34.00
17.00, 35.00
17.00, 38.00
17.00, 51.00
17.00, 64.00
17.00, 84.00
18.00, 14.00
18.00, 15.00
18.00, 16.00
18.00, 18.00
18.00, 34.00
18.00, 38.00
19.00, 13.00
19.00, 33.00
19.00, 34.00
19.00, 36.00
19.00, 37.00
19.00, 76.00
19.00, 93.00
20.00, 16.00
20.00, 19.00
20.00, 25.00
20.00, 34.00
20.00, 38.00
20.00, 74.00
20.00, 83.00
20.00, 88.00
20.00, 89.00
20.00, 98.00
21.00, 18.00
21.00, 19.00
21.00, 21.00
21.00, 34.00
21.00, 70.00
21.00, 81.00
22.00, 17.00
22.00, 61.00
22.00, 77.00
22.00, 89.00
23.00, 4.00
23.00, 17.00
23.00, 50.00
23.00, 59.00
23.00, 89.00
24.00, 40.00
24.00, 59.00
24.00, 60.00
24.00, 87.00
24.00, 88.00
24.00, 90.00
24.00, 92.00
25.00, 14.00
25.00, 17.00
25.00, 58.00
25.00, 61.00
25.00, 63.00
25.00, 73.00
25.00, 86.00
26.00, 5.00
26.00, 17.00
26.00, 18.00
26.00, 19.00
26.00, 55.00
26.00, 57.00
26.00, 62.00
26.00, 88.00
27.00, 5.00
27.00, 16.00
27.00, 53.00
27.00, 55.00
27.00, 58.00
27.00, 61.00
27.00, 63.00
27.00, 65.00
27.00, 67.00
27.00, 68.00
27.00, 88.00
28.00, 5.00
28.00, 36.00
28.00, 58.00
28.00, 59.00
28.00, 76.00
28.00, 82.00
28.00, 86.00
28.00, 87.00
28.00, 89.00
28.00, 91.00
29.00, 5.00
29.00, 46.00
29.00, 53.00
29.00, 60.00
29.00, 62.00
29.00, 71.00
29.00, 87.00
30.00, 3.00
30.00, 4.00
30.00, 7.00
30.00, 9.00
30.00, 61.00
30.00, 66.00
30.00, 87.00
31.00, 5.00
31.00, 20.00
31.00, 30.00
31.00, 43.00
31.00, 60.00
31.00, 62.00
31.00, 68.00
31.00, 71.00
31.00, 87.00
32.00, 22.00
32.00, 67.00
32.00, 76.00
32.00, 77.00
32.00, 85.00
32.00, 86.00
32.00, 88.00
32.00, 90.00
33.00, 33.00
33.00, 55.00
33.00, 96.00
34.00, 4.00
34.00, 5.00
34.00, 6.00
34.00, 7.00
34.00, 8.00
34.00, 10.00
34.00, 62.00
34.00, 71.00
34.00, 86.00
35.00, 3.00
35.00, 7.00
35.00, 35.00
35.00, 49.00
35.00, 56.00
35.00, 75.00
35.00, 86.00
35.00, 96.00
36.00, 3.00
36.00, 7.00
36.00, 38.00
36.00, 85.00
36.00, 90.00
37.00, 2.00
37.00, 3.00
37.00, 5.00
37.00, 6.00
37.00, 69.00
37.00, 87.00
38.00, 3.00
38.00, 7.00
38.00, 21.00
38.00, 24.00
38.00, 73.00
38.00, 99.00
39.00, 3.00
39.00, 24.00
39.00, 62.00
41.00, 33.00
41.00, 68.00
41.00, 83.00
42.00, 24.00
42.00, 44.00
42.00, 60.00
42.00, 87.00
43.00, 83.00
44.00, 14.00
44.00, 77.00
45.00, 6.00
46.00, 18.00
46.00, 49.00
47.00, 24.00
49.00, 13.00
49.00, 76.00
49.00, 77.00
49.00, 81.00
49.00, 100.00
50.00, 11.00
50.00, 18.00
